CMDLINE /home/james/zDev/.venvs/APPvenv/bin/python3 simul.py
MEM 0.375000 1699754082.6829
MEM 30.578125 1699754082.7832
MEM 45.453125 1699754082.8836
MEM 52.027344 1699754082.9841
MEM 54.277344 1699754083.0847
MEM 57.152344 1699754083.1851
MEM 59.777344 1699754083.2856
MEM 65.027344 1699754083.3861
MEM 72.402344 1699754083.4867
MEM 77.277344 1699754083.5872
MEM 77.277344 1699754083.6875
MEM 77.277344 1699754083.7880
MEM 77.277344 1699754083.8883
MEM 77.277344 1699754083.9886
MEM 77.277344 1699754084.0891
MEM 77.277344 1699754084.1893
MEM 77.277344 1699754084.2898
MEM 77.277344 1699754084.3902
MEM 77.277344 1699754084.4905
MEM 77.277344 1699754084.5909
MEM 77.277344 1699754084.6912
MEM 77.277344 1699754084.7919
MEM 77.277344 1699754084.8924
MEM 77.277344 1699754084.9928
MEM 77.277344 1699754085.0932
MEM 77.277344 1699754085.1935
MEM 77.277344 1699754085.2939
MEM 77.277344 1699754085.3942
MEM 77.277344 1699754085.4945
MEM 77.277344 1699754085.5949
MEM 77.277344 1699754085.6951
MEM 77.277344 1699754085.7954
MEM 77.277344 1699754085.8956
MEM 77.277344 1699754085.9959
MEM 77.277344 1699754086.0961
MEM 77.277344 1699754086.1963
MEM 77.277344 1699754086.2967
MEM 77.277344 1699754086.3969
MEM 77.277344 1699754086.4972
MEM 63.851562 1699754086.5975
